12123213|05/05/2005|05/05/2005|2321312312313
12312321|03/03/2003|03/03/2003|1312321312
12312321|12/12/2012|12/12/2012|123123213
12321321|12/12/1990|13/12/2009|123213213123132
21321323|12/12/2202|12/12/1010|1232323123
12312312|12/12/2012|12/12/2012|123123123
12312321|12/12/2012|12/12/2012|123123213213
12321321|12/12/2012|12/12/2012|31231231231
12321321|12/12/1222|12/12/2232|123123213
12321321|12/12/1232|21/12/1212|1232132131
12312321|12/12/2012|12/12/2012|1231232131
12312323|12/12/2012|12/12/2012|12321321321
12321323|12/12/2012|12/12/2012|123123213213
